"filename", "language", "XML", "Log", "JSON", "HTML", "Ini", "C#", "comment", "blank", "total"
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/Car/WheelParticleHandler.cs", "C#", 0, 0, 0, 0, 0, 28, 11, 9, 48
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/Car/WheelTrailRendererHandler.cs", "C#", 0, 0, 0, 0, 0, 28, 7, 12, 47
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/CheckPoint.cs", "C#", 0, 0, 0, 0, 0, 8, 4, 2, 14
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/GameManager.cs", "C#", 0, 0, 0, 0, 0, 74, 18, 22, 114
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/JumpData.cs", "C#", 0, 0, 0, 0, 0, 9, 2, 2, 13
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/MusicController.cs", "C#", 0, 0, 0, 0, 0, 44, 18, 9, 71
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/ParkingSign.cs", "C#", 0, 0, 0, 0, 0, 11, 9, 5, 25
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/PositionHandler.cs", "C#", 0, 0, 0, 0, 0, 30, 11, 12, 53
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/RaceTrack.cs", "C#", 0, 0, 0, 0, 0, 23, 6, 4, 33
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/Scriptable objects/CarData.cs", "C#", 0, 0, 0, 0, 0, 25, 0, 6, 31
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/ScriptsNotUsedInGame/Ghost car/GhostCarData.cs", "C#", 0, 0, 0, 0, 0, 17, 0, 3, 20
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/ScriptsNotUsedInGame/Ghost car/GhostCarDataListItem.cs", "C#", 0, 0, 0, 0, 0, 48, 5, 16, 69
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/ScriptsNotUsedInGame/Ghost car/GhostCarPlayback.cs", "C#", 0, 0, 0, 0, 0, 7, 68, 2, 77
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/ScriptsNotUsedInGame/Ghost car/GhostCarRecorder.cs", "C#", 0, 0, 0, 0, 0, 7, 90, 3, 100
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/SpawnCars.cs", "C#", 0, 0, 0, 0, 0, 38, 15, 9, 62
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/UI/CarUIHandler.cs", "C#", 0, 0, 0, 0, 0, 39, 7, 8, 54
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/UI/CarUIInputHandler.cs", "C#", 0, 0, 0, 0, 0, 53, 2, 11, 66
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/UI/CountDownUIHandler.cs", "C#", 0, 0, 0, 0, 0, 36, 1, 11, 48
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/UI/InGameMenuUIHandler.cs", "C#", 0, 0, 0, 0, 0, 38, 12, 11, 61
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/UI/LeaderboardUIHandler.cs", "C#", 0, 0, 0, 0, 0, 51, 10, 18, 79
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/UI/RaceTimeUIHandler.cs", "C#", 0, 0, 0, 0, 0, 32, 2, 9, 43
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/UI/SelectCarUIHandler.cs", "C#", 0, 0, 0, 0, 0, 78, 31, 32, 141
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Assets/Scripts/UI/SetLeaderboardItemInfo.cs", "C#", 0, 0, 0, 0, 0, 20, 4, 4, 28
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.0Build.app/Contents/MonoBleedingEdge/etc/mono/2.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.0Build.app/Contents/MonoBleedingEdge/etc/mono/4.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.0Build.app/Contents/MonoBleedingEdge/etc/mono/4.5/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.0Build.app/Contents/MonoBleedingEdge/etc/mono/browscap.ini", "Ini", 0, 0, 0, 0, 13255, 0, 274, 3451, 16980
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.0Build.app/Contents/MonoBleedingEdge/etc/mono/mconfig/config.xml", "XML", 525, 0, 0, 0, 0, 0, 30, 62, 617
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.0Build.app/Contents/Resources/Data/RuntimeInitializeOnLoads.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.0Build.app/Contents/Resources/Data/ScriptingAssemblies.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/arjunsharma/Desktop/TheLastParkingSpot/Builds/LastParkingSpotBeta1.4Build.app/Contents/MonoBleedingEdge/etc/mono/2.0/DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 1594, 0, 0, 28, 280, 1902
